Energy,Protein,"Carbohydrate, by difference",Total lipid (fat),"Fatty acids, total saturated","Fiber, total dietary",Total Sugars,"Sodium, Na",fdc_id,description
-0.026669132397822207,-0.5862998666154824,0.9548484243261797,-0.5975675623476879,-0.6033376305400587,-0.2404062607232157,0.7354994996725227,0.35793285537919123,2617421,CEREAL
-0.026669132397822207,-0.5862998666154824,0.9548484243261797,-0.5975675623476879,-0.6033376305400587,-0.2404062607232157,0.7354994996725227,0.35793285537919123,2617422,CEREAL
0.7054170971950737,-1.0005421499305651,0.4600547734202886,0.007395535826951296,1.4283542695991285,-0.7917492414988383,1.2893863426186913,1.328991604365751,2511629,CEREAL
0.0330930087934346,0.28632527118760176,0.04566509078660556,-0.4593898105573193,-0.6033376305400587,0.8843334200590545,-1.7911350030819166,0.6951624627678291,1952060,CEREAL
0.13767675587813402,-0.9648901501370538,0.991957948144122,-0.6951047989055953,-0.6033376305400587,-0.7476418030367885,0.9934741936474508,0.8292417042596972,1889809,CEREAL
-1.0276849973513738,-0.09226501233396955,0.5590135036014673,-0.8855346417091285,-0.6033376305400587,1.1489780508313536,0.3940624047057068,0.041018284580230296,2171100,CEREAL
0.13767675587813402,-0.9648901501370538,1.1960603291428018,-0.6951047989055953,-0.6033376305400587,-1.4754145376606103,2.002610496549374,0.6951624627678291,2476995,CEREAL
0.13767675587813402,-0.9648901501370538,0.991957948144122,-0.501191483367851,-0.6033376305400587,-0.7476418030367885,0.9934741936474508,0.9673839530695008,2477341,CEREAL
-0.17607448537596423,-0.358806153647363,0.9610333449625038,-1.0817702724030134,-0.6033376305400587,-1.4754145376606103,-1.0096234301578708,1.0445810921102732,2107531,CEREAL
0.24226050296283347,-0.9020747219294388,1.1280262021432421,-0.6521419685169932,-0.6033376305400587,-1.4754145376606103,1.2969738336179542,1.2233534140994307,1864038,CEREAL
-0.5944094737147619,-0.6117655807537046,1.1465809640522129,-1.0817702724030134,-0.6033376305400587,-0.8799641184229379,0.6672120806791596,0.7520445652189247,2642006,CEREAL
-1.0276849973513738,-0.09226501233396955,0.5590135036014673,-0.8855346417091285,-0.6033376305400587,1.1489780508313536,0.3940624047057068,0.041018284580230296,2142860,CEREAL
-1.849414438731155,0.1674852718758978,0.577568265510438,-0.6951047989055953,-0.6033376305400587,8.073845889373175,-0.2736368032294004,0.4229409724661576,2015814,CEREAL
-0.4898257266300625,-0.5693227238566674,0.8806293766902966,-0.862311490147722,-0.6033376305400587,0.17861440466625758,1.0693491036400766,0.2726097017025479,2140770,CEREAL
-0.056550202993450614,-0.43520329606202995,0.8187801703270603,-0.7067163746862984,-0.6033376305400587,-0.04192278764399147,0.4092373867042319,1.8084264678821278,1635920,CEREAL
-0.056550202993450614,-0.43520329606202995,0.8187801703270603,-0.7067163746862984,-0.6033376305400587,-0.04192278764399147,0.4092373867042319,1.8084264678821278,1635964,CEREAL
-0.5944094737147619,-0.6117655807537046,1.1465809640522129,-1.0817702724030134,-0.6033376305400587,-0.8799641184229379,0.6672120806791596,0.7520445652189247,2175559,CEREAL
-0.17607448537596423,-0.944517578826476,1.177505567233831,-1.0817702724030134,-0.6033376305400587,-0.7255880838057636,0.8265493916636739,0.7642335871727309,2175879,CEREAL
-0.17607448537596423,-0.944517578826476,0.9610333449625038,-0.6811709079687513,-0.6033376305400587,0.7961185431349551,1.0845240856386016,0.5570202139580257,2025357,CEREAL
-0.17607448537596423,-0.944517578826476,1.177505567233831,-1.0817702724030134,-0.6033376305400587,-0.7255880838057636,0.8265493916636739,0.7642335871727309,1663505,CEREAL
