AE1,AE2,AE3,fdc_id,description
1.0147579,1.7871494,1.2209764,545450,CEREAL + MILK
1.8732241,1.6838343,3.6112156,2495469,CEREAL BAR
1.251068,1.4122936,3.7652807,373610,CEREAL BARS
1.1656024,2.3333054,3.9179354,2169575,CEREAL BARS
1.1656024,2.3333054,3.9179354,2171254,CEREAL BARS
1.3808701,1.4133835,3.3827455,2024763,CEREAL BARS
1.9276866,1.69964,4.522984,1947494,CEREAL IN A CUP
1.5042559,0.6406489,2.2698472,1864216,CEREAL SNACKERS
1.7468309,2.138549,5.868917,1944658,CEREAL WITH MARSHMALLOWS!
0.90410936,1.3914568,4.509105,1864229,"CEREAL, CHOCOLATE"
1.3916246,1.925394,5.1163845,1927239,"CEREAL, CHOCOLATE"
1.9198931,2.6112006,5.7328706,1933052,"CEREAL, CHOCOLATE"
0.87142533,1.2408255,4.4183154,2487966,"CEREAL, CHOCOLATE"
2.0114474,2.4990344,4.406262,1633793,"CEREAL, CHOCOLATE"
1.9790556,2.5537524,4.792109,2477383,"CEREAL, CINNAMON"
1.8889499,2.1090384,5.092445,1636148,"CEREAL, FRUITY"
3.2249007,4.0392113,7.586365,2477387,"CEREAL, HONEY"
1.4829127,1.866302,4.6015944,2477635,"CEREAL, ORIGINAL"
2.1656246,2.1154416,4.671626,1864248,"CEREAL, STRAWBERRIES"
1.5042559,0.6406489,2.2698472,1810930,"CEREAL, STRAWBERRY"
2.1656246,2.1154416,4.671626,2653147,"CEREAL, STRAWBERRY"
1.9255508,2.6077151,6.273895,2287123,"CEREALS, BERRY"
2.5806136,0.9459935,2.483535,2517161,Cheerios Cereal
4.035504,3.6166816,5.570434,2738631,Cheerios Cereal
3.6157928,3.3508363,5.4216075,759418,Cheerios Cereal
1.9241037,1.4231845,3.025617,2670307,CINNAMON CEREAL
1.5137349,1.7081172,5.209795,2107828,CORN CEREAL
2.1340075,2.1648707,5.6413956,2091474,CORN CEREAL
1.4218155,0.0015116334,1.1799182,2442530,CORN CEREAL
2.0452538,2.0920687,5.232763,2017429,CORN CEREAL
0.88599837,1.2395558,4.315358,562748,CORN CEREAL
3.159192,2.7069993,5.0923333,2083831,FLAKES CEREAL
2.06314,2.1753552,4.923661,2626151,FROSTED CEREAL
0.60042375,0.8668205,1.9707378,1852660,FROSTED CEREAL
2.2766852,2.2692785,4.6086273,2089234,GRANOLA CEREAL
1.570883,1.4982085,2.2477534,1914207,GRANOLA CEREAL
1.8591409,2.2237952,2.6204877,409997,GRANOLA CEREAL
1.8244734,2.094586,2.4490733,2070577,GRANOLA CEREAL
1.8244734,2.094586,2.4490733,2070654,GRANOLA CEREAL
2.992395,2.2653155,4.4478507,1636237,HOT CEREAL
1.9543295,0.9464695,2.4658804,1630747,HOT CEREAL
2.992395,2.2653155,4.4478507,2673931,HOT CEREAL
1.2856184,0.38844594,2.1821933,2617319,HOT CEREAL
1.9543295,0.9464695,2.4658804,1636303,HOT CEREAL
3.1400743,2.962257,5.6558275,2752074,Kix Cereal
3.1400743,2.962257,5.6558275,2752152,Kix Cereal
2.1729393,2.1763039,5.59852,2595978,MARSHMALLOWS CEREAL
2.3088899,2.4269214,5.345277,2614506,MINIS CEREAL
1.427046,0.6665651,2.4213462,2017873,MULTIGRAIN CEREAL
2.1151168,1.3778139,3.6311145,2616196,MULTIGRAIN CEREAL
1.6857665,2.1131997,5.2539196,2470754,O'S CEREAL
3.8937817,3.6355524,5.833414,2118100,OAT CEREAL
1.187099,0.17009044,1.9972696,2597449,ORGANIC CEREAL
2.142036,1.8558899,4.5437417,370655,ORGANIC CEREAL
1.6763347,1.5181751,3.86318,370632,ORGANIC CEREALS
3.3795862,2.7380292,5.286542,2567824,ORIGINAL CEREAL
4.1461396,3.0649257,4.430503,2594634,ORIGINAL CEREAL
3.2769275,3.3037863,6.764473,2595859,ORIGINAL CEREAL
2.197266,1.0149417,2.1358762,2607681,ORIGINAL CEREAL
3.2769275,3.3037863,6.764473,2611316,ORIGINAL CEREAL
0.75729066,1.0350224,2.4941463,1898513,QUINOA CEREAL
1.9249816,1.304689,1.991818,2491163,SUPER CEREAL
1.6021787,1.2686349,1.9052619,2113417,SUPERFOOD CEREAL
1.8398114,1.995853,5.0262847,1635967,SWEETENED CEREAL
2.0541906,2.1483583,5.1829543,2477273,SWEETENED CEREAL
3.5110264,2.884275,5.292935,1928913,THE ORIGINAL CEREAL
2.9712758,2.5183349,5.118594,2687926,Total Cereal
1.9475683,2.2283201,5.090361,2745285,Trix Cereal
1.8488276,2.0408397,5.1227345,759416,Trix Cereal
1.9475683,2.2283201,5.090361,1462033,Trix Cereal
1.9475683,2.2283201,5.090361,2745277,Trix Cereal
1.9475683,2.2283201,5.090361,2746408,Trix Cereal
1.9475683,2.2283201,5.090361,2747468,Trix Cereal
2.7856445,2.6323955,5.039917,1885973,"WEGMANS, CEREAL"
3.785893,3.3868837,6.402718,758004,Wheaties Cereal
5.4231725,5.0468416,6.0643935,2509069,"CINNAMON CEREAL WITH COLLAGEN & MCTS, CINNAMON CEREAL"
0.0,3.351491,2.5870245,2671005,"FRUITY CEREAL CANDY WAFERS, FRUITY CEREAL"
0.3993095,2.123065,2.4497042,2561058,"FRUITY CEREAL COOKIE DOUGH, FRUITY CEREAL"
0.7457497,1.4255033,3.6292841,2661010,"FRUITY CEREAL CRISPY BITES, FRUITY CEREAL"
4.4709764,4.4282365,4.2566543,2374125,"FRUITY CEREAL PROTEIN BUCKBAR, FRUITY CEREAL"
2.6074915,0.5494373,1.7928061,2582068,"FRUITY CEREAL PROTEIN SHAKE, FRUITY CEREAL"
1.4424003,1.4909482,4.2675104,1635850,"HOLIDAY SPRINKLES SWEETENED CEREAL, SWEETENED CEREAL"
3.1054997,4.1492863,7.5624504,2673044,"HONEY GRAHAM CEREAL, HONEY GRAHAM CEREAL"
2.0111465,2.5334837,3.4625013,2145027,"MILK & CEREAL BREAKFAST BISCUITS, MILK & CEREAL"
1.6189977,0.0,1.4386029,2286997,"NUT AND CEREAL DAIRY DRINK, NUT AND CEREAL"
1.9562219,0.036284804,1.5302246,2463998,"PECAN CEREAL YOGURT SMOOTHIE, PECAN CEREAL"
1.9473444,0.056870997,1.4980161,2301161,"PECAN CEREAL YOGURT SMOOTHIE, PECAN CEREAL"
1.9057376,0.11602545,1.4199065,2187239,"PECAN CEREAL YOGURT SMOOTHIE, PECAN CEREAL"
1.9147947,0.13443345,1.4489306,2187209,"PECAN CEREAL YOGURT SMOOTHIE, PECAN CEREAL"
1.9473444,0.056870997,1.4980161,2189425,"PECAN CEREAL YOGURT SMOOTHIE, PECAN CEREAL"
1.6584852,0.226978,1.5656549,2189000,"SMOOTHIE YOGURT WITH PECAN & CEREALS, PECAN & CEREALS"
1.8178252,2.2047973,5.374416,1864071,"SWEETENED MULTIGRAIN CEREAL, SWEETENED MULTIGRAIN CEREAL"
1.8178252,2.2047973,5.374416,2015533,"SWEETENED MULTIGRAIN CEREAL, SWEETENED MULTIGRAIN CEREAL"
2.063418,2.6476772,6.2998695,1850350,"SWEETENED RICE CEREAL, SWEETENED RICE CEREAL"
2.063418,2.6476772,6.2998695,1864069,"SWEETENED RICE CEREAL, SWEETENED RICE CEREAL"
2.865162,2.7875524,6.0249763,2672929,"TOASTED RICE CEREAL, TOASTED RICE CEREAL"
1.2255961,0.7955009,1.3222893,1970205,"CEREAL SOAKED MILK ICE CREAM WITH CRISPY CEREAL SWIRL, CEREAL DREAMS"
3.283317,2.8334646,4.886481,1855473,"PEACE CEREAL, SUPERGRAINS CEREAL, MAPLE BUCKWHEAT HEMP"
2.0026836,2.4030304,2.8485684,1880521,"BAUDUCCO, BREAKFAST COOKIE, MILK & CEREALS, MILK & CEREALS"
0.0,3.343648,2.604764,2411924,"CEREAL 'N CANDY BITES, CEREAL 'N CANDY"
5.472605,6.060008,6.0689044,1838403,"CHOCOLATEY CEREAL FLAVOR MACROS BARS, CHOCOLATEY CEREAL"
0.15827097,2.6406956,2.094863,1975441,"CINNAMON CEREAL IN MILK CHOCOLATE CEREAL SWEETS, CINNAMON"
0.13205275,0.46372998,3.5095372,2506722,"FRUITY CEREAL FLAVORED CARAMEL CORN, FRUITY CEREAL"
5.2796636,5.215746,4.5529795,2666683,"FRUITY CEREAL FLAVORED PROTEIN BAR, FRUITY CEREAL"
1.9033729,0.13155597,1.4403797,2628160,"LALA, YOGURT SMOOTHIE, PECAN CEREAL, PECAN CEREAL"
1.7765825,0.11638856,1.4916809,2186493,"LALA, YOGURT SMOOTHIE, PECAN CEREAL, PECAN CEREAL"
5.0226755,5.972875,5.8345366,1838132,"MACROS FRUITY CEREAL BAR, MACROS FRUITY CEREAL"
0.012630507,3.0721889,2.1181471,2631103,"MARSHMALLOW CEREAL CHOCOLATE BAR, MARSHMALLOW CEREAL CHOCOLATE"
