Algoritmo,Representación,Clusters,Silhouette,Davies-Bouldin,Ruido
K-Means,Normalizado,2,0.33975643886345863,1.437080176720585,
K-Means,PCA,2,0.35697984363362995,1.317328975570043,
K-Means,Autoencoder,2,0.5152195372210612,0.6840543952414866,
Jerárquico,Normalizado,5,0.2575140232590382,1.202352282647571,
Jerárquico,PCA,5,0.2417730398194024,1.407205111416627,
Jerárquico,Autoencoder,5,0.37542900702814685,0.7752640576773121,
HDBSCAN,Normalizado,2,0.5418778605032445,0.5372059110286515,1374.0
HDBSCAN,PCA,2,0.5564796168292956,0.514961194919945,1089.0
HDBSCAN,Autoencoder,2,0.130421033409871,0.9978115841766678,1176.0
