fdc_id,description,brand_owner,food_category,Energy,Protein,"Carbohydrate, by difference",Total lipid (fat),"Fatty acids, total saturated","Fiber, total dietary",Total Sugars,"Sodium, Na"
2487953,CEREAL,"Post Consumer Brands, LLC",Cereal,370.0,11.1,74.1,5.56,0.0,11.1,0.0,481.0
2487964,CEREAL,"Post Consumer Brands, LLC",Cereal,379.0,6.9,89.7,0.0,0.0,0.0,55.2,224.0
2079252,CEREAL,Target Stores,Cereal,382.0,12.7,65.4,9.09,0.91,9.1,12.7,182.0
2175897,CEREAL,The Kellogg Company ,Cereal,351.0,5.41,89.2,0.0,0.0,2.7,32.4,514.0
2107140,CEREAL,The Kellogg Company ,Cereal,357.0,7.14,85.7,0.0,0.0,3.6,10.7,714.0
604467,CEREAL,RAISIN BRAN,Cereal,311.0,8.2,78.7,1.64,0.0,14.8,32.8,393.0
2477386,CEREAL,"Post Consumer Brands, LLC",Cereal,375.0,7.14,83.9,3.57,0.0,5.4,41.1,679.0
2149323,CEREAL,The Kellogg Company ,Cereal,375.0,5.0,90.0,0.0,0.0,0.0,42.5,312.0
1747324,CEREAL,The Kellogg Company ,Cereal,357.0,7.14,85.7,0.0,0.0,2.4,9.52,714.0
2093405,CEREAL,The Kellogg Company ,Cereal,357.0,7.14,85.7,0.0,0.0,2.4,9.52,714.0
2153366,CEREAL,The Kellogg Company ,Cereal,322.0,8.47,79.7,1.69,0.0,11.9,28.8,339.0
1947654,CEREAL,The Kellogg Company ,Cereal,322.0,8.47,78.0,1.69,0.0,11.9,30.5,356.0
1912504,CEREAL,The Kellogg Company ,Cereal,379.0,3.45,89.7,0.0,0.0,3.4,34.5,517.0
370639,CEREAL,NATURE'S PATH,Cereal,400.0,6.67,90.0,0.0,0.0,3.3,13.3,350.0
2487962,CEREAL,"Post Consumer Brands, LLC",Cereal,385.0,3.85,88.5,3.85,0.0,3.8,42.3,385.0
2471601,CEREAL,"Post Consumer Brands, LLC",Cereal,455.0,6.06,75.8,13.6,1.52,3.0,39.4,485.0
2175566,CEREAL,The Kellogg Company ,Cereal,351.0,5.41,89.2,0.0,0.0,2.7,32.4,514.0
2175882,CEREAL,The Kellogg Company ,Cereal,400.0,12.5,77.5,6.25,1.25,7.5,5.0,500.0
2171323,CEREAL,The Kellogg Company ,Cereal,322.0,8.47,79.7,1.69,0.0,11.9,28.8,339.0
2061918,CEREAL,"Post Consumer Brands, LLC",Cereal,407.0,3.7,85.2,7.41,5.56,3.7,44.4,630.0
2015808,CEREAL,Nature's Path Foods Inc.,Cereal,400.0,13.3,80.0,3.33,0.0,16.7,13.3,433.0
2640903,CEREAL,"Post Consumer Brands, LLC",Cereal,400.0,2.5,85.0,6.25,0.0,2.5,42.5,525.0
1967905,CEREAL,The Kellogg Company ,Cereal,322.0,8.47,78.0,1.69,0.0,11.9,30.5,356.0
2475884,CEREAL,"Post Consumer Brands, LLC",Cereal,393.0,10.7,78.6,5.36,0.0,7.1,21.4,607.0
2089093,CEREAL,The Kellogg Company ,Cereal,358.0,7.55,84.9,1.89,0.0,7.5,35.8,377.0
