PC1,PC2,PC3,PC4,PC5,fdc_id,description
-2.22385207370375,0.38405553917915236,-0.12596506296352036,0.26792993694255907,-0.16828977147485574,2642006,CEREAL
-1.7511559530684944,-0.15422426153203636,-0.25392905874793814,0.9037969865534079,-0.8231348804973466,2107531,CEREAL
0.019649810852387976,-1.553409112320383,0.8346225262820727,0.6705485752027855,0.27256437047719445,1952060,CEREAL
-1.954258718495228,1.0627607413994196,0.12492901291882252,0.1408904855558579,-0.029383156682756633,1889809,CEREAL
-1.7023556235852275,0.18616280440275798,0.3231363467467591,-0.31570855123374075,0.37912054707597925,2140770,CEREAL
-2.2659467348213806,1.6210537897966932,-0.07614418056127487,0.582017350716466,-0.4241947736654567,1864038,CEREAL
-1.1277909235701546,-1.023342440026908,0.5458807992889739,-0.35184156168610614,0.8304198404830194,2142860,CEREAL
-1.1277909235701546,-1.023342440026908,0.5458807992889739,-0.35184156168610614,0.8304198404830194,2171100,CEREAL
-2.22385207370375,0.38405553917915236,-0.12596506296352036,0.26792993694255907,-0.16828977147485574,2175559,CEREAL
-2.25077482481015,0.7199304598003393,0.08389625672975076,0.07251145812531305,-0.016138133636798346,2175879,CEREAL
0.36037683252754527,-4.180363131212591,4.2422962961088935,-1.151574866061702,5.496947570149624,2015814,CEREAL
1.6877381492723986,0.2456690449204077,1.0095949984947101,-0.14960904074395504,-0.2279259457781569,702664,CEREAL
-1.8885869324414681,1.145472108248642,0.1425131330787764,0.26540393730803313,0.03496699040123225,2477341,CEREAL
-2.4006043302187026,1.868976068183292,-0.19045047626433526,0.024511384585874117,-0.48782427928276334,2476995,CEREAL
-1.7102362097675028,0.38984602820017333,0.6723426093986107,1.1603703397428289,0.4947920804347635,1635920,CEREAL
-1.7102362097675028,0.38984602820017333,0.6723426093986107,1.1603703397428289,0.4947920804347635,1635964,CEREAL
-2.25077482481015,0.7199304598003393,0.08389625672975076,0.07251145812531305,-0.016138133636798346,1663505,CEREAL
-1.6359688706118205,0.3569081146378828,0.7970851766039972,-0.3675664499726358,0.9752717795882423,2025357,CEREAL
-1.09877276712492,-1.0298577016908892,0.5030685707295802,-0.26742999161949527,0.8622020278391257,2070798,CEREAL
-0.5378096882392478,2.4359375208943246,-0.14927437020388146,0.6823781059932852,0.6888290030508928,2511629,CEREAL
-1.514411115753125,0.4886293994843566,0.34621993464482886,-0.17806775004785594,-0.0039099437404267745,2617421,CEREAL
-1.514411115753125,0.4886293994843566,0.34621993464482886,-0.17806775004785594,-0.0039099437404267745,2617422,CEREAL
0.35450858926351064,1.5076255953630373,-0.20108416584190275,-0.5731256338990782,-0.09028675130479102,453840,CEREAL
-1.2293945814089011,0.30179086030137736,0.3388866060380124,0.17322115313115377,-0.18327433910028024,2467907,CEREAL
-1.6359688706118205,0.3569081146378828,0.7970851766039972,-0.3675664499726358,0.9752717795882423,1939929,CEREAL
-1.4406202994452437,-0.1549519790144558,0.3373867157493971,-0.6563712136378835,0.28696189591768967,2171191,CEREAL
-1.1277909235701546,-1.023342440026908,0.5458807992889739,-0.35184156168610614,0.8304198404830194,2142492,CEREAL
-1.2293945814089011,0.30179086030137736,0.3388866060380124,0.17322115313115377,-0.18327433910028024,2470812,CEREAL
-1.197951489285567,-0.9115884330308792,0.5533575431693282,-0.03971979443026095,0.959306360629442,2107800,CEREAL
-1.8137538308583991,-0.45224246417397646,-0.027674367017950383,1.302670490376146,-0.23535192408236238,2175813,CEREAL
-2.0936344734498737,1.3303014715359838,0.39075227912582833,0.42320145092603256,0.09987900734949118,1864070,CEREAL
-0.15780119529846318,-1.280871912351123,1.0493652164517298,0.29422085824308897,-0.2442456122151588,2015809,CEREAL
-1.3838390615095424,-0.04558275695623834,0.7427959687803131,-0.06299454365203098,0.592841204009621,2671774,CEREAL
-1.7788366048228432,-0.4991410295542658,0.12534278942817983,1.242807879589715,-0.059112002248112284,2089085,CEREAL
-2.305991380662371,0.7050513285582245,-0.04673997839968374,-0.11473923593999039,-0.017362321701634494,1926949,CEREAL
-1.9129615321176332,0.521544173393963,0.10916282295596215,1.3094332232013475,0.11804673069408103,1727086,CEREAL
-1.71267996059926,1.6431108249949304,0.16460428977380182,0.8075123212113703,0.2244072774418306,2487958,CEREAL
-2.1150853042158766,1.257268714644237,-0.38860353409463916,0.3497713736990631,-0.5161863730925295,2511635,CEREAL
-0.7751639515238318,0.016557531187375962,0.39737824212495976,0.023771805110050698,-0.05919275078997112,2027476,CEREAL
-1.514411115753125,0.4886293994843566,0.34621993464482886,-0.17806775004785594,-0.0039099437404267745,2617423,CEREAL
-0.06076776985466793,-0.8702671458894052,1.2279967785917862,0.036836959580033975,0.09157745044394817,370663,CEREAL
-2.25077482481015,0.7199304598003393,0.08389625672975076,0.07251145812531305,-0.016138133636798346,1912505,CEREAL
1.2865060750531871,3.41750039028703,-0.7375237012304099,-0.3375926279501099,0.8688670674171602,2469488,CEREAL
-1.272941333340621,0.12894611870304376,0.5324445761413051,-0.6851084241006719,-0.21904991909448698,2038207,CEREAL
-2.043267809998973,1.157131674454478,-0.14020704463763958,-0.22968843515535944,-0.14210850260284144,2168954,CEREAL
-2.25077482481015,0.7199304598003393,0.08389625672975076,0.07251145812531305,-0.016138133636798346,2671976,CEREAL
